AAA,Anaa
JHB,Johor Bahru
JHG,Jinghong
JHM,Kapalua
JHS,Sisimiut
JHW,Jamestown
JIA,Juina Airport
JIB,Djibouti
JIC,Jinchang
JIJ,Jijiga
JIK,Ikaria Island
JIM,Jimma
JIN,JINJA
JIO,Jos Orno
JIQ,Qianjian
JIU,Jiujiang
JJA,Jajao
JJD,Jericoacoara
JJG,Jaguaruna Regional Airport
JJI,JUANJUI
JJM,Meru-Kiina
JJN,Quanzhou
JJU,Qaqortoq
JKG,Jonkoping
JKH,Chios
JKL,Kalymnos Island
JKR,Janakpur
JLN,Joplin
JLR,Jabalpur
JLS,JALES
JMJ,Lancang Jingmai
JMK,Mykonos
JMO,  Jomsom
JMS,Jamestown
JMU,Jiamusi
JNA,JANUARIA
JNB,Johannesburg O.R. Tambo International
JNG,Jining
JNN,Nanortalik
JNS,Narsaq
JNU,Juneau
JNX,Naxos Is
JNZ,Jinzhou
JOE,Joensuu
JOG,Yogyakarta
JOI,Joinville
JOK,  Yoshkar-Ola
JOL,Jolo
JOM,NJOMBE
JOS,Jos
JOT,JOLIET REGIONAL
JPA,Joao Pessoa
JPE,Paragominas
JPO,Patos
JPR,JI-PARANA
JQA,Qaarsut
JQE,Jaque
JQF,CONCORD REGIONAL
JRB,  New York
JRF,KAPOLEI/KALAELOA/JOHN ROGERS
JRG,Jharsuguda
JRH,Jorhat
JRO,Kilimanjaro
JRS,JERUSALEM
JSA,  Jaisalmer
JSB,Sao Benedito
JSH,Siteia
JSI,Skiathos
JSJ,Jiansanjiang Shidi
JSK,Jask Airport
JSO,Sobral Regional
JSR,Jessore
JST,Johnstown
JSU,Maniitsoq
JSY,Syros Island
JTC,Bauru
JTI,JATAI
JTR,Thira
JTY,Astypalaia Island
JUA,Juara Airport
JUB,Juba
JUH,Chizhou
JUI,  Juist
JUJ,Jujuy
JUK,Ukkusissat
JUL,Juliaca
JUM,  Jumla
JUU,Nuugaatsiaq
JUV,Upernavik
JUZ,Quzhou
JVA,  Ankavandra
JVR,JEVER
JWA,JWANENG
JWN,ZANJAN 2
JXA,Jixi
JXN,JACKSON/REYNOLDS FLD
JYR,Jiroft
JYV,Jyvaskyla
JZH,Jiuzhaigou
KAA,Kasama
KAB,KARIBA
KAC,KAMISHLY
KAD,Kaduna
KAE,Kake
KAJ,Kajaani
KAL,Kaltag
KAN,Kano
KAO,Kuusamo
KAT,Kaitaia
KAU,KAUHAVA
KAW,Kawthaung
KAX,  Kalbarri
KAZ,Kau
KBC,Birch Creek
KBL,Kabul
KBP,Kiev Borispol Intl Apt
KBR,Kota Bharu
KBT,XXX
KBU,Kotabaru
KBV,Krabi
KCA,Kuqa
KCC,Coffman Cove
KCF,Kadanwari
KCG,Chignik Fisheries Apt
KCH,Kuching
KCK,Kirensk
KCL,Chignik Lagoon Apt
KCM,Kahramanmaras
KCO,Kocaeli
KCQ,Chignik Lake Apt
KCT,Koggala
KCU,MASINDI
KCZ,Kochi
KDC,KANDI
KDD,KHUZDAR
KDH,Kandahar
KDI,Kendari
KDL,Kardla
KDM,Kaadedhdhoo Island
KDO,Kadhdhoo Island
KDR,  Kandrian
KDU,Skardu
KDV,Kadavu Island
KDZ,Kandy Polgolla Reservoir SPB
KEA,Kerki
KEB,Nanwalek
KED,KAEDI
KEF,Reykjavik Keflavik International Apt
KEH,  Kenmore
KEJ,Kemerovo
KEK,Ekwok
KEL,KIEL-HOLTENAU
KEM,Kemi/Tornio
KEO,Odienne
KEP,Nepalganj
KER,Kerman
KET,Kengtung
KEU,Keekorok
KEV,HALLI
KEW,Keewaywin
KFA,KIFFA
KFP,False Pass
KFS,Kastamonu
KGA,Kananga
KGC,Kingscote
KGD,Kaliningrad
KGE,Kagau Island
KGF,Karaganda
KGG,KEDOUGOU
KGI,Kalgoorlie-Boulder
KGJ,KARONGA
KGK,Koliganek
KGL,Kigali
KGP,KOGALYM
KGQ,Kangersuatsiaq
KGS,Kos
KGT,Kangding
KGW,  Kagi
KGX,Grayling
KGY,KINGAROY
KHC,KERCH INTL
KHD,Khorramabad
KHE,Kherson
KHG,Kashi
KHH,Kaohsiung
KHI,Karachi
KHJ,KAUHAJOKI
KHK,KHARK ISLAND
KHM,  Khamti
KHN,Nanchang
KHQ,Kullorsuaq
KHR,  Kharkhorin
KHS,Khasab
KHT,Khost
KHV,Khabarovsk
KHY,Khoy
KHZ,Kauehi
KIA,KIETA
KID,Kristianstad
KIE,Aropa
KIF,Kingfisher Lake
KIH,Kish Island
KIJ,Niigata
KIK,KIRKUK
KIM,Kimberley
KIN,Kingston Norman Manley Intl Apt
KIO,XXX
KIR,Kerry
KIS,Kisumu
KIT,Kythira
KIW,SOUTHDOWNS KITWE
KIX,Osaka Kansai International Airport
KJA,Krasnoyarsk
KJB,Kurnool
KJH,Kaili Huangping
KJI,Buerjin City
KJK,KORTRIJK/WEVELGEM
KJT,Kertajati
KKA,Koyuk
KKB,Kitoi Bay
KKC,Khon Kaen
KKD,  Kokoda
KKE,Kerikeri
KKH,Kongiganak
KKI,Akiachak
KKJ,Kitakyushu
KKM,LOP BURI/KHOK KATHIAM
KKN,Kirkenes
KKQ,Krasnoselkup
KKR,Kaukura
KKS,Kashan International Airport
KKU,Ekuk
KKW,KIKWIT
KKX,KIKAI
KLC,KAOLACK
KLD,TVER/MIGALOVO
KLF,Kaluga
KLG,Kalskag
KLH,KOLHAPUR
KLL,Levelock
KLM,Kalaleh
KLN,Larsen Bay
KLO,Kalibo
KLR,Kalmar
KLU,Klagenfurt
KLV,Karlovy Vary
KLW,Klawock
KLX,Kalamata
KLZ,KLEINSEE
KMA,  Kerema
KMC,KING KHALED MIL CITY
KME,Cyangugu
KMG,Kunming
KMI,Miyazaki
KMJ,Kumamoto
KMN,KAMINA
KMO,Manokotak
KMP,KEETMANSHOOP
KMQ,Komatsu
KMS,Kumasi
KMU,Kisimayu
KMV,Kalemyo
KMW,KOSTROMA SOKERINO
KMX,KHAMIS MUSHAIT/KING KHALED AB
KMY,Moser Bay
KNA,VINA DEL MAR
KND,Kindu
KNF,MARHAM
KNG,Utarom
KNH,Kinmen
KNK,Kakhonak
KNO,Kualanamu
KNQ,Kone
KNR,JAM/JAM
KNS,King Island
KNU,Kanpur
KNW,New Stuyahok
KNX,Kununurra
KOA,Kona
KOC,Koumac
KOE,Kupang
KOI,Kirkwall
KOJ,Kagoshima
KOK,Kokkola/Pietarsaari
KOM,Komo
KOO,Kongolo
KOP,Nakhon Phanom
KOS,Sihanoukville
KOT,Kotlik
KOU,  Koulamoutou
KOV,Kokshetau
KOW,Ganzhou
KOY,Olga Bay
KOZ,Ouzinkie
KPB,Point Baker
KPC,  Port Clarence
KPN,Kipnuk
KPO,Pohang
KPR,Port Williams
KPS,KEMPSEY
KPV,Perryville
KPW,Keperveyem
KPY,Port Bailey
KQA,Akutan
KQH,Kishangarh
KQT,Qurghonteppa
KRB,  Karumba
KRC,  Kerinci
KRF,Kramfors/Solleftea
KRG,Karagwe
KRI,  Kikori
KRK,Krakow
KRL,Korla
KRN,Kiruna
KRO,KURGAN
KRP,Karup
KRR,Krasnodar
KRS,Kristiansand Kjevik Airport
KRT,Khartoum
KRW,TURKMENBASHI
KRY,Karamay
KSA,Kosrae
KSC,Kosice
KSD,Karlstad
KSE,Kasese
KSF,KASSEL/CALDEN
KSH,Kermanshah
KSJ,Kasos Island
KSK,KARLSKOGA
KSL,KASSALA
KSM,St Marys
KSN,Kostanay
KSO,Kastoria
KSQ,Karshi
KSR,H. Aroeppala
KSS,SIKASSO-DIGNANGAN
KSU,Kristiansund
KSY,Kars
KSZ,Kotlas
KTA,Karratha
KTB,Thorne Bay
KTD,KITADAITO
KTE,Kerteh
KTG,Ketapang
KTJ,Kichwa Tembo
KTL,Kitale
KTM,Kathmandu
KTN,Ketchikan International Apt
KTP,  Kingston
KTQ,KITEE
KTR,TINDAL
KTS,Teller Mission
KTT,Kittila
KTU,KOTA
KTW,Katowice
KUA,Kuantan
KUC,Kuria Airport
KUD,Kudat
KUF,Samara
KUG,  Kubin Island
KUH,Kushiro
KUK,Kasigluk
KUL,Kuala Lumpur International Airport
KUM,YAKUSHIMA
KUN,Kaunas
KUO,Kuopio
KUS,Kulusuk Island
KUT,Kutaisi
KUU,Kullu
KUV,Gunsan
KUZ,Kuummiut
KVA,Kavala
KVB,SKOEVDE
KVC,King Cove
KVD,Ganja
KVG,Kavieng
KVK,Kirovsk/Apatity
KVL,Kivalina
KVO,Morava
KVR,Kavalerovo
KVX,Kirov
KWA,Kwajalein Island
KWB,Dewadaru
KWE,Guiyang
KWF,Waterfall
KWG,KRIVYI RIH/LOZOVATKA
KWI,Kuwait
KWJ,Gwangju
KWK,Kwigillingok
KWL,Guilin
KWM,Kowanyama
KWN,Quinhagak
KWP,West Point
KWT,Kwethluk
KWZ,KOLWEZI
KXB,Sangia Nibandera
KXF,  Koro Island
KXK,Komsomolsk-na-Amure
KXU,Katiu
KYA,Konya
KYD,Lanyu
KYE,KLEYATE RENE MOUAWAD
KYK,Karluk
KYP,Kyaukpyu
KYS,KAYES/DAG-DAG
KYU,Koyukuk
KYZ,  Kyzyl
KZB,Zachar Bay
KZI,Kozani
KZN,Kazan
KZO,Kyzylorda
KZR,Kutahya
KZS,Megisti
LAD,Luanda
LAE,Lae
LAF,LAFAYETTE/PURDUE UNIV
LAH,  Labuha
LAI,Lannion
LAJ,LAGES
LAK,Aklavik
LAL,LAKELAND LINDER REGIONAL
LAM,Los Alamos
LAN,Lansing
LAO,Laoag
LAP,La Paz
LAQ,Beida
LAR,Laramie
LAS,Las Vegas McCarran International Apt
LAU,Lamu
LAW,Lawton
LAX,Los Angeles International Apt
LAZ,BOM JESU DA LAPA
LBA,Leeds Bradford
LBB,Lubbock Preston Smith International Apt
LBC,Hamburg Luebeck-Blankensee Airport
LBD,Khujand
LBE,Latrobe
LBF,North Platte
LBG,PARIS/LE BOURGET
LBI,ALBI/LE SEQUESTRE
LBJ,Labuan Bajo
LBL,Liberal
LBP,Long Banga
LBR,LABREA
LBS,Labasa
LBU,Labuan
LBV,Libreville
LBX,LUBANG
LCA,Larnaca
LCC,GALATINA/LECCE
LCD,MAKHADO
LCE,La Ceiba
LCG,A Coruna
LCH,Lake Charles
LCI,LACONIA MUNICIPAL
LCJ,Lodz
LCK,Columbus Rickenbacker Apt
LCL,PINA DEL RIO/LA COLOMA
LCQ,LAKE CITY MUNI
LCR,La Chorrera
LCX,Longyan
LCY,London City Apt
LDB,Londrina
LDE,Lourdes/Tarbes
LDG,Leshukonskoye
LDH,Lord Howe Island
LDK,LIDKOPING
LDN,  Lamidanda
LDS,Yichun
LDU,Lahad Datu
LDV,LANDIVISIAU
LDY,Derry
LDZ,Londolozi
LEA,Learmonth
LEB,Lebanon
LEC,Lencois
LED,St Petersburg Pulkovo Apt
LEH,Le Havre
LEI,Almeria
LEJ,Leipzig/Halle
LEK,LABE/TATA
LEN,Leon
LEP,LEOPOLDINA
LEQ,Land's End
LER,LEINSTER
LET,Leticia
LEV,  Bureta
LEX,Lexington Blue Grass Apt
LEY,LELYSTAD
LFB,Lumbo
LFI,LANGLEY AFB
LFK,LUFKIN ANGELINA CO
LFM,Lamerd
LFQ,Linfen Qiaoli
LFR,LA FRIA
LFT,Lafayette Regional Apt
LFW,Lome
LGA,New York La Guardia Apt
LGB,Long Beach Apt
LGC,LA GRANGE-CALLAWAY
LGG,Li ge
LGH,LEIGH CREEK
LGI,Deadmans Cay
LGK,Langkawi
LGL,Long Lellang
LGP,Legaspi
LGQ,Lago Agrio
LGR,COCHRANE
LGS,MALARGUE
LGU,LOGAN-CACHE
LGW,London Gatwick Apt
LGZ,Shannan Longzi
LHA,LAHR
LHE,Lahore
LHG,LIGHTNING RIDGE
LHR,London Heathrow Apt
LHW,Lanzhou Zhongchuan Apt
LIC,LIMON MUNI
LID,LEIDEN/VALKENBURG
LIF,Lifou
LIG,Limoges
LIH,Kauai Island Lihue Municipal Apt
LIK,XXX
LIL,Lille Lesquin Airport
LIM,Lima
LIN,Milan Linate Apt
LIO,LIMON INTL
LIQ,Lisala
LIP,LINS
LIR,Liberia
LIS,Lisbon
LIT,Little Rock
LIW,LOIKAW
LIZ,LIMESTONE/LORING AFB
LJA,Lodja
LJG,Lijiang
LJU,Ljubljana
LKA,Gewayantana
LKB,Lakeba Island
LKE,Seattle Lake Union SPB
LKG,Lokichoggio
LKH,Long Akah
LKI,Lasikin
LKL,Lakselv
LKN,Leknes
LKO,Lucknow
LKY,Lake Manyara
LKZ,LAKENHEATH
LLA,Lulea
LLB,Libo
LLF,Yongzhou
LLI,Lalibela
LLJ,Silampari
LLK,Lankaran
LLO,Bua
LLU,Alluitsup Paa
LLV,Luliang Airport
LLW,Lilongwe
LMA,Lake Minchumina
LMC,Lamacarena
LME,LE MANS/ARNAGE
LML,XXX
LMM,Los Mochis
LMN,Limbang
LMO,LOSSIEMOUTH
LMP,Lampedusa
LMS,LOUISVILLE-WINSTON COUNTY
LMT,Klamath Falls
LMU,Letung
LMV,Madivaru
LMY,  Lake Murray
LNB,Lamen Bay
LND,LANDER
LNE,Lonorore
LNJ,Lincang
LNK,Lincoln
LNL,Longnan Chengzhou
LNO,LEONORA
LNS,Lancaster
LNU,Robert Atty Bessing
LNV,Lihir Island
LNY,Lanai City
LNZ,Linz
LOD,Longana
LOE,Loei
LOH,Loja
LOI,LONTRAS/HELMUTH BAUNGARTEM
LOK,Lodwar
LOL,LOVELOCK
LOO,Laghouat
LOP,Praya
LOS,Lagos
LOT,CHICAGO/ROMEOVILLE LEWIS UNI.
LOU,LOUISVILLE/BOWMAN FIELD
LOV,  Monclova
LOY,  Loiyangalani
LOZ,LONDON-CORBIN ARPT-MAGEE FLD
LPA,Gran Canaria
LPB,La Paz
LPD,La Pedrera
LPF,Liupanshui Yuezhao
LPG,LA PLATA
LPI,Linkoping
LPK,LIPETSK
LPL,Liverpool
LPM,Lamap
LPP,Lappeenranta
LPQ,Luang Prabang
LPS,Lopez Island
LPT,Lampang
LPU,Long Apung
LPX,LIEPAYA
LPY,Le Puy
LQM,Puerto Leguizamo
LQN,  Qala I Naw
LRA,LARISSA
LRD,Laredo
LRE,Longreach
LRF,JACKSONVILLE/LITTLE ROCK AFB
LRH,La Rochelle
LRK,LINCOLN
LRL,NIAMTOUGOU INTL
LRM,La Romana
LRR,Lar
LRS,Leros
LRT,Lorient
LRU,LAS CRUCES INTL
LRV,Los Roques
LSA,Losuia
LSC,La Serena
LSE,La Crosse
LSF,LAWSON AAF FORT BENNING
LSH,Lashio
LSI,Shetland Islands Sumburgh Apt
LSK,LENSK
LSP,Las Piedras
LSQ,LOS ANGELES/MARIA DOLORES
LSS,  Les Saintes
LST,Launceston
LSV,LAS VEGAS/NELLIS AFB
LSW,Lhok Seumawe
LSY,Lismore
LSZ,LOSINJ
LTA,TZANEEN
LTB,LATROBE VALLEY
LTD,Ghadames
LTI,Altai
LTK,LATAKIA/BASSEL AL-ASSAD INTL
LTN,London Luton Apt
LTO,Loreto
LTQ,LE TOUQUET/PARIS PLAGE
LTS,ALTUS AFB
LTT,LA MOLE
LTU,Latur
LTX,Latacunga
LUA,  Lukla
LUC,  Laucala Island
LUD,Luderitz
LUF,GLENDALE/LUKE AFB
LUG,Lugano
LUH,Ludhiana
LUK,Cincinnati Municipal Apt
LUM,Mangshi
LUN,Lusaka
LUO,Luena
LUP,  Kalaupapa
LUQ,San Luis
LUR,Cape Lisburne
LUV,Langgur
LUW,Luwuk
LUX,Luxembourg
LUZ,Lublin
LVA,LAVAL/ENTRAMMES
LVI,Livingstone
LVM,LIVINGSTON MISSION FLD
LVO,LAVERTON
LVP,LAVAN ISLAND
LVS,LAS VEGAS MUNI
LWB,Lewisburg
LWD,LAMONI MUNI
LWE,Wonopito Airport
LWM,LAWRENCE MUNI
LWN,Gyumri
LWO,Lviv
LWR,LEEUWARDEN
LWS,Lewiston
LWT,LEWISTOWN MUNI
LWY,Lawas
LXA,Lhasa/Lasa
LXG,Luang Namtha
LXR,Luxor
LXS,Limnos
LXU,LUKULU
LXV,LEADVILLE LAKE CO
LYA,Luoyang
LYB,Little Cayman
LYC,Lycksele
LYE,LYNEHAM
LYG,Lianyungang
LYH,Lynchburg
LYI,Linyi
LYN,LYON/BRON
LYP,Faisalabad
LYR,Longyearbyen
LYS,Lyon St-Exupery Apt
LYX,LYDD
LZC,Lazaro Cardenas
LZH,  Liuzhou
LZG,Langzhong Gucheng
LZN,Nangan
LZO,Luzhou
LZU,Lawrenceville
LZY,Nyingchi/Linzhi
MAA,Chennai
MAB,Maraba
MAD,Madrid Barajas Apt
MAF,Midland Odessa Regional Apt
MAG,Madang
MAH,Menorca
MAJ,Majuro
MAK,MALAKAL
MAM,Matamoros
MAN,Manchester
MAO,Manaus
MAQ,Mae Sot
MAR,Maracaibo
MAS,Manus Island
MAT,  Matadi
MAU,Maupiti Island
MAV,XXX
MAZ,Mayaguez
MBA,Mombasa
MBD,MAFIKENG
MBE,Monbetsu
MBG,MOBRIDGE MUNI
MBH,MARYBOROUGH
MBI,Mbeya
MBJ,Montego Bay
MBL,Manistee
MBO,MAMBURAO
MBS,Saginaw
MBT,Masbate
MBU,  Mbambanakira
MBW,MELBOURNE/MOORABBIN
MBX,MARIBOR INTL
MBZ,MAUES
MCA,MACENTA
MCB,MCCOMB/PIKE CO/JOHN E LEWIS
MCE,Merced Macready Regional Apt
MCF,MAC DILL AFB
MCG,McGrath
MCH,MACHALA/GENERAL M. SERRANO
MCI,Kansas City International Apt
MCK,McCook
MCM,Monaco
MCN,Macon Lewis B Wilson Apt
MCO,Orlando International Apt
MCP,Macapa
MCS,MONTE CASEROS
MCT,Muscat
MCV,Mcarthur River Mine
MCW,Mason City
MCX,Makhachkala
MCY,Sunshine Coast
MCZ,Maceio
MDC,Manado
MDE,Medellin Jose Maria Cordova Intl
MDG,Mudanjiang
MDI,Makurdi
MDK,Mbandaka
MDL,Mandalay
MDQ,Mar del Plata
MDS,  Middle Caicos
MDT,Harrisburg International Apt
MDU,Mendi
MDW,Chicago Midway Apt
MDX,MERCEDES
MDY,MIDWAY HENDERSON FIELD
MDZ,Mendoza
MEA,Macae
MEB,Melbourne Essendon Apt
MEC,Manta
MED,Madinah
MEE,Mare
MEG,Malange
MEH,Mehamn
MEI,Meridian
MEL,Melbourne Airport
MEM,Memphis International Apt
MEN,MENDE/BRENOUX
MEP,MERSING
MEQ,Cut Nyak Dien
MES,Medan
MEU,ALMEIRIM/MONTE DOURADO
MEX,Mexico City Juarez International Apt
MEY,  Meghauli
MFD,MANSFIELD LAHM REGIONAL
MFE,McAllen
MFF,MOANDA
MFJ,  Moala
MFK,MATSU/BEIGAN
MFM,Macau
MFQ,MARADI
MFR,Medford
MFU,Mfuwe
MGA,Managua
MGB,Mount Gambier
MGE,DOBBINS AFB
MGF,Maringa
MGH,MARGATE
MGL,MOENCHENGLADBACH
MGM,Montgomery Dannelly Field
MGN,MAGANGUE/BARACOA
MGQ,Mogadishu
MGS,Mangaia Island
MGT,Milingimbi Island
MGU,Manaung
MGW,Morgantown
MGZ,Myeik
MHC,Castro
MHD,Mashhad
MHG,MANNHEIM-CITY
MHH,Marsh Harbour
MHK,Manhattan
MHP,MINSK-1
MHQ,Mariehamn
MHR,SACRAMENTO MATHER
MHT,Manchester
MHU,MT HOTHAM AIRPORT
MHV,MOJAVE/KERN COUNTY
MHW,Monteagudo
MHZ,MILDENHALL
MIA,Miami International Apt
MIB,MINOT AFB
MID,Merida
MIG,Mianyang
MII,Marilia
MIJ,XXX
MIK,MIKKELI
MIL,MILANO/BRESSO
MIM,Merimbula
MIP,RAMON AFB
MIR,Monastir
MIS,Misima Island
MIU,Maiduguri
MIV,MILLVILLE MUNI
MJA,  Manja
MJB,XXX
MJC,Man
MJD,Mohenjodaro
MJE,XXX
MJF,Mosjoen
MJI,TRIPOLI/MITIGA
MJK,  Monkey Mia
MJL,MOUILLA
MJM,Mbuji-Mayi
MJN,Mahajanga
MJP,MANJIMUP
MJT,Mytilini
MJU,Mamuju
MJV,Murcia
MJZ,Mirny
MKC,KANSAS CITY CH.B.WHEELER DOWNT
MKE,Milwaukee General Mitchell Intl Apt
MKG,Muskegon
MKJ,MAKOUA
MKK,Hoolehua
MKL,Jackson
MKM,Mukah
MKP,Makemo
MKQ,Merauke
MKR,MEEKATHARRA
MKU,MAKOKOU
MKW,Manokwari
MKY,Mackay
MKZ,MALACCA
MLA,Malta
MLB,Melbourne
MLC,MC ALESTER REGIONAL
MLD,MALAD CITY
MLE,Male
MLF,MILFORD MUNI/B&J BRISCOE FIELD
MLG,Malang
MLH,Mulhouse
MLI,Moline
MLL,Marshall
MLM,Morelia
MLN,Melilla
MLO,Milos
MLP,MALABANG
MLS,MILES CITY/FRANK WILEY
MLT,MILLINOCKET MUNI
MLU,Monroe
MLW,Monrovia Spriggs Payne Apt
MLX,Malatya
MLY,Manley Hot Springs
MLZ,MELO
MMB,Memambetsu
MMD,MINAMI DAITO
MME,Durham
MMG,MOUNT MAGNET
MMH,Mammoth Lakes
MMJ,Matsumoto
MMK,Murmansk
MMM,MIDDLEMOUNT
MMO,Maio Island
MMT,MC ENTIRE AIR NATIONAL GUARD
MMU,Morristown
MMV,Milei
MMX,Malmo Airport
MMY,Miyako
MMZ,Maimanah
MNA,Melangguane
MNB,  Moanda
MNC,  Nacala
MNF,  Mana Island
MNG,Maningrida
MNH,MINNERIYA
MNI,Montserrat
MNJ,  Mananjary
MNL,Manila Ninoy Aquino International Apt
MNQ,MONTO
MNR,MONGU
MNS,Mansa
MNT,Minto
MNU,Mawlamyine
MNX,MANICORE
MNY,XXX
MOA,Moa
MOB,Mobile Municipal Apt
MOC,Montes Claros
MOD,Modesto
MOE,MOMEIK
MOF,Maumere
MOG,MONGHSAT
MOH,Maleo Airport
MOI,Mitiaro Island
MOL,Molde
MON,MOUNT COOK
MOO,MOOMBA
MOQ,Morondava
MOT,Minot International Apt
MOU,Mountain Village
MOV,Moranbah
MOZ,Moorea
MPA,Katima Mulilo
MPH,Caticlan
MPI,  Mamitupo
MPK,MOKPO
MPL,Montpellier Mediterranee Apt
MPM,Maputo
MPN,Mount Pleasant
MPP,Mulatupo
MPV,EDWARD F KNAPP STATE/BARRE
MPW,MARIUPOL INTL
MQB,MACOMB MUNI
MQF,Magnitogorsk
MQH,MINACU
MQJ,Khonuu
MQL,Mildura
MQM,Mardin
MQN,Mo I Rana
MQP,Nelspruit
MQQ,MOUNDOU
MQS,MUSTIQUE
MQT,Marquette
MQU,MARIQUITA/MARQUITA
MQX,Mekele
MQY,SMYRNA
MQZ,MARGARET RIVER
MRA,Misurata
MRB,MARTINSBURG EASTERN WV REG.
MRD,Merida
MRE,Masai Mara
MRG,MAREEBA
MRM,  Manare
MRO,Masterton
MRQ,MARINDUQUE
MRR,MACARA
MRS,Marseille Provence Apt
MRU,Mauritius
MRV,Mineralnye Vody
MRW,LOLLAND FALSTER/MARIBO
MRX,Bandar Mahshahr
MRY,Monterey Peninsula Apt
MRZ,Moree
MSA,Muskrat Dam
MSE,Manston
MSH,RAFO Masirah
MSJ,Misawa
MSK,Morelia
MSL,Muscle Shoals
MSN,Madison
MSO,Missoula
MSP,Minneapolis International Apt
MSQ,Minsk International Apt
MSR,Mus
MSS,Massena
MST,Maastricht/Aachen
MSU,Maseru
MSW,Massawa
MSY,New Orleans Louis Armstrong Intl Apt
MSZ,Namibe
MTE,MONTE ALEGRE
MTH,  Marathon
MTJ,Montrose
MTK,Makin
MTL,MAITLAND
MTM,Metlakatla
MTN,BALTIMORE MARTIN STATE
MTP,MONTAUK
MTQ,MITCHELL
MTR,Monteria
MTS,Manzini
MTT,Minatitlan
MTV,Mota Lava
MTY,Monterrey General Mariano Escobedo Apt
MUA,Munda
MUB,Maun
MUC,Munich International Airport
MUE,Kamuela
MUH,MERSA-MATRUH
MUK,Mauke Island
MUN,Maturin
MUO,MOUNTAIN HOME AFB
MUR,Marudi
MUW,Mascara
MUX,Multan
MUZ,  Musoma
MVB,FRANCEVILLE/MVENGUE
MVD,Montevideo
MVF,MOSSORO/DIX SEPT ROSADO
MVP,Mitu
MVQ,MOGILEV
MVR,Maroua
MVS,  Mucuri
MVT,Mataiva
MVY,Martha's Vineyard
MVZ,MASVINGO
MWA,Marion
MWE,MEROWE
MWF,Maewo
MWH,MOSES LAKE/GRANT COUNTY INTL
MWK,  Matak
MWL,MINERAL WELLS
MWQ,  Magwe
MWX,Muan
MWZ,Mwanza
MXF,MAXWELL AFB
MXH,Moro
MXJ,MINNA
MXL,Mexicali
MXM,  Morombe
MXN,MORLAIX/PLOUJEAN
MXP,Milan Malpensa Apt
MXT,  Maintirano
MXV,Moron
MXX,Mora
MXZ,Meixian
MYA,Moruya
MYC,MARACAY/EL LIBERTADOR
MYD,Malindi
MYE,Miyakejima
MYG,Mayaguana
MYI,  Murray Island
MYJ,Matsuyama
MYL,MC CALL MUNICIPAL
MYN,MARIB
MYP,MARY
MYQ,Mysore
MYR,Myrtle Beach AFB
MYT,Myitkyina
MYU,Mekoryuk
MYV,YUBA COUNTY/MARYSVILLE
MYW,Mtwara
MYY,Miri
MZA,  Muzaffarnagar
MZB,MOCIMBOA DA PRAIA
MZG,Magong
MZH,Amasya
MZI,MOPTI
MZJ,MARANA/PINAL AIRPARK
MZK,Marakei
MZL,Manizales
MZM,METZ/FRESCATY
MZO,Manzanillo
MZQ,MKUZI
MZR,Mazar-e Sharif
MZT,Mazatlan
MZU,MUZAFFARPUR
MZV,Mulu
MZW,Mecheria
NAA,Narrabri
NAE,NATITINGOU
NAG,Nagpur
NAH,Tahuna
NAJ,Nakchivan
NAK,NAKHON RATCHASIMA
NAL,NALCHIK
NAM,Namniwel
NAN,Nadi
NAO,Nanchong
NAP,Naples Capodichino Apt
NAQ,Qaanaaq
NAS,Nassau International Apt
NAT,Natal
NAU,Napuka
NAV,Nevsehir
NAW,Narathiwat
NAY,Beijing Nanyuan Apt
NAZ,XXX
NBB,BERYOZOVO
NBC,Nizhnekamsk
NBE,Enfidha
NBG,NEW ORLEANS NAS JRB
NBK,BANGKOK SUVARNABHUMI INTL
NBO,Nairobi Jomo Kenyatta International Apt
NBS,Chang Bai Shan
NBW,GUANTANAMO US-NAVAL AIR BASE
NBX,Nabire
NCA,NORTH CAICOS
NCE,Nice
NCL,Newcastle
NCS,NEWCASTLE
NCU,Nukus
NCY,ANNECY/MEYTHET
NDB,Nouadhibou
NDC,  Nanded
NDE,  Mandera
NDG,Qiqihar
NDJ,N'Djamena
NDK,Namdrik Island
NDR,Nador
NDU,Rundu
NDY,Sanday
NEC,NECOCHEA
NEG,  Negril
NER,Neryungri
NEU,SAMNEUA
NEV,Nevis
NEW,NEW ORLEANS/LAKEFRONT
NFL,FALLON NAS/VAN VOORHIS FLD
NFO,Mata'aho (TO)
NFW,FORT WORTH NAS JRB
NGA,YOUNG
NGB,Ningbo
NGE,NGAOUNDERE
NGF,KANEOHE BAY MCAF MOKAPU
NGI,  Ngau
NGK,Nogliki
NGL,Ngala
NGO,Nagoya Chubu Centrair International Apt
NGP,CORPUS CHRISTI NAS
NGQ,Shiquande
NGS,Nagasaki
NGU,NORFOLK NAS
NGZ,ALAMEDA NAS
NHA,NHATRANG
NHF,NEW HALFA
NHT,NORTHOLT
NHV,Nuku Hiva
NHZ,BRUNSWICK NAS
NIB,Nikolai
NIC,Nicosia
NID,CHINA LAKE NAWS (ARMITAGE FLD)
NIF,Nifty
NIG,Nikunau
NIM,Niamey
NIN,  Ninilchik
NIP,JACKSONVILLE NAS
NIQ,Niaqornat
NIS, Simberi
NIU,Niau
NJA,ATSUGI
NJC,Nizhnevartovsk
NJF,Al Najaf
NJK,EL CENTRO NAF
